area,year,quarter,count
Amnat Charoen,2019,q1,17
Amnat Charoen,2019,q2,115
Amnat Charoen,2019,q3,118
Amnat Charoen,2019,q4,69
Amnat Charoen,2020,q1,6
Amnat Charoen,2020,q2,32
Amnat Charoen,2020,q3,59
Amnat Charoen,2020,q4,3
Ang Thong,2019,q1,29
Ang Thong,2019,q2,18
Ang Thong,2019,q3,49
Ang Thong,2019,q4,18
Ang Thong,2020,q1,39
Ang Thong,2020,q2,23
Ang Thong,2020,q3,155
Ang Thong,2020,q4,35
Bangkok,2019,q1,1183
Bangkok,2019,q2,649
Bangkok,2019,q3,3017
Bangkok,2019,q4,3741
Bangkok,2020,q1,759
Bangkok,2020,q2,310
Bangkok,2020,q3,1512
Bangkok,2020,q4,1324
Bungkan,2019,q1,48
Bungkan,2019,q2,500
Bungkan,2019,q3,134
Bungkan,2019,q4,0
Bungkan,2020,q1,26
Bungkan,2020,q2,291
Bungkan,2020,q3,223
Bungkan,2020,q4,7
Buri Ram,2019,q1,241
Buri Ram,2019,q2,535
Buri Ram,2019,q3,1314
Buri Ram,2019,q4,331
Buri Ram,2020,q1,104
Buri Ram,2020,q2,269
Buri Ram,2020,q3,538
Buri Ram,2020,q4,27
Chachoengsao,2019,q1,142
Chachoengsao,2019,q2,188
Chachoengsao,2019,q3,275
Chachoengsao,2019,q4,105
Chachoengsao,2020,q1,20
Chachoengsao,2020,q2,42
Chachoengsao,2020,q3,62
Chachoengsao,2020,q4,13
Chai Nat,2019,q1,48
Chai Nat,2019,q2,29
Chai Nat,2019,q3,107
Chai Nat,2019,q4,57
Chai Nat,2020,q1,49
Chai Nat,2020,q2,73
Chai Nat,2020,q3,342
Chai Nat,2020,q4,41
Chaiyaphum,2019,q1,193
Chaiyaphum,2019,q2,685
Chaiyaphum,2019,q3,860
Chaiyaphum,2019,q4,387
Chaiyaphum,2020,q1,173
Chaiyaphum,2020,q2,1039
Chaiyaphum,2020,q3,698
Chaiyaphum,2020,q4,10
Chanthaburi,2019,q1,91
Chanthaburi,2019,q2,578
Chanthaburi,2019,q3,684
Chanthaburi,2019,q4,155
Chanthaburi,2020,q1,67
Chanthaburi,2020,q2,316
Chanthaburi,2020,q3,171
Chanthaburi,2020,q4,34
Chiang Mai,2019,q1,80
Chiang Mai,2019,q2,318
Chiang Mai,2019,q3,1578
Chiang Mai,2019,q4,986
Chiang Mai,2020,q1,86
Chiang Mai,2020,q2,275
Chiang Mai,2020,q3,1997
Chiang Mai,2020,q4,382
Chiang Rai,2019,q1,92
Chiang Rai,2019,q2,538
Chiang Rai,2019,q3,3188
Chiang Rai,2019,q4,844
Chiang Rai,2020,q1,81
Chiang Rai,2020,q2,489
Chiang Rai,2020,q3,811
Chiang Rai,2020,q4,97
Chon Buri,2019,q1,410
Chon Buri,2019,q2,536
Chon Buri,2019,q3,931
Chon Buri,2019,q4,646
Chon Buri,2020,q1,187
Chon Buri,2020,q2,282
Chon Buri,2020,q3,876
Chon Buri,2020,q4,349
Chumphon,2019,q1,99
Chumphon,2019,q2,177
Chumphon,2019,q3,173
Chumphon,2019,q4,53
Chumphon,2020,q1,27
Chumphon,2020,q2,54
Chumphon,2020,q3,88
Chumphon,2020,q4,88
Kalasin,2019,q1,62
Kalasin,2019,q2,265
Kalasin,2019,q3,484
Kalasin,2019,q4,146
Kalasin,2020,q1,71
Kalasin,2020,q2,225
Kalasin,2020,q3,286
Kalasin,2020,q4,32
Kamphaeng Phet,2019,q1,56
Kamphaeng Phet,2019,q2,98
Kamphaeng Phet,2019,q3,173
Kamphaeng Phet,2019,q4,39
Kamphaeng Phet,2020,q1,40
Kamphaeng Phet,2020,q2,36
Kamphaeng Phet,2020,q3,126
Kamphaeng Phet,2020,q4,23
Kanchanaburi,2019,q1,89
Kanchanaburi,2019,q2,109
Kanchanaburi,2019,q3,373
Kanchanaburi,2019,q4,48
Kanchanaburi,2020,q1,46
Kanchanaburi,2020,q2,45
Kanchanaburi,2020,q3,52
Kanchanaburi,2020,q4,66
Khon Kaen,2019,q1,307
Khon Kaen,2019,q2,600
Khon Kaen,2019,q3,944
Khon Kaen,2019,q4,482
Khon Kaen,2020,q1,283
Khon Kaen,2020,q2,1022
Khon Kaen,2020,q3,902
Khon Kaen,2020,q4,44
Krabi,2019,q1,62
Krabi,2019,q2,92
Krabi,2019,q3,93
Krabi,2019,q4,42
Krabi,2020,q1,14
Krabi,2020,q2,43
Krabi,2020,q3,45
Krabi,2020,q4,18
Lampang,2019,q1,37
Lampang,2019,q2,148
Lampang,2019,q3,461
Lampang,2019,q4,53
Lampang,2020,q1,4
Lampang,2020,q2,170
Lampang,2020,q3,582
Lampang,2020,q4,65
