area,year,q1,q2,q3,q4
Amnat Charoen,2019,17,115,118,69
Amnat Charoen,2020,6,32,59,3
Ang Thong,2019,29,18,49,18
Ang Thong,2020,39,23,155,35
Bangkok Metropolis,2019,1183,649,3017,3741
Bangkok Metropolis,2020,759,310,1512,1324
Bueng Kan,2019,48,500,134,0
Bueng Kan,2020,26,291,223,7
Buri Ram,2019,241,535,1314,331
Buri Ram,2020,104,269,538,27
Chachoengsao,2019,142,188,275,105
Chachoengsao,2020,20,42,62,13
Chai Nat,2019,48,29,107,57
Chai Nat,2020,49,73,342,41
Chaiyaphum,2019,193,685,860,387
Chaiyaphum,2020,173,1039,698,10
Chanthaburi,2019,91,578,684,155
Chanthaburi,2020,67,316,171,34
Chiang Mai,2019,80,318,1578,986
Chiang Mai,2020,86,275,1997,382
Chiang Rai,2019,92,538,3188,844
Chiang Rai,2020,81,489,811,97
Chon Buri,2019,410,536,931,646
Chon Buri,2020,187,282,876,349
Chumphon,2019,99,177,173,53
Chumphon,2020,27,54,88,88
Kalasin,2019,62,265,484,146
Kalasin,2020,71,225,286,32
Kamphaeng Phet,2019,56,98,173,39
Kamphaeng Phet,2020,40,36,126,23
Kanchanaburi,2019,89,109,373,48
Kanchanaburi,2020,46,45,52,66
Khon Kaen,2019,307,600,944,482
Khon Kaen,2020,283,1022,902,44
Krabi,2019,62,92,93,42
Krabi,2020,14,43,45,18
Lampang,2019,37,148,461,53
Lampang,2020,4,170,582,65
Lamphun,2019,12,25,181,52
Lamphun,2020,13,29,75,26
Loei,2019,17,439,563,169
Loei,2020,57,350,285,10
Lop Buri,2019,345,153,230,145
Lop Buri,2020,48,79,471,85
Mae Hong Son,2019,13,37,206,94
Mae Hong Son,2020,13,256,927,203
Maha Sarakham,2019,77,120,443,141
Maha Sarakham,2020,68,307,501,19
Mukdahan,2019,53,346,219,16
Mukdahan,2020,15,127,215,7
Nakhon Nayok,2019,63,97,68,56
Nakhon Nayok,2020,4,20,49,17
Nakhon Pathom,2019,395,122,444,470
Nakhon Pathom,2020,172,63,252,182
Nakhon Phanom,2019,28,457,202,19
Nakhon Phanom,2020,44,184,140,9
Nakhon Ratchasima,2019,551,2301,2618,1666
Nakhon Ratchasima,2020,497,1474,2320,100
Nakhon Sawan,2019,297,144,370,224
Nakhon Sawan,2020,98,50,503,309
